stadium_id,name,aliases,city,state,country,lat,lon,elevation_m,timezone,orientation_deg,orientation_bucket,orientation_src,roof_type,surface,capacity,year_built,avg_wind_static,wind_vol_static,wind_impact_static,weakest_wind_effect,avg_wind_sep,avg_wind_oct,avg_wind_nov,avg_wind_dec,avg_wind_jan,avg_temp_f,wikidata_qid,osm_way_id,cfbd_venue_id,espn_venue_id,nflverse_stadium_id,needs_review,elev_src,latlon_src,review_note
jack-coffey-field,Jack Coffey Field,,Bronx,NY,US,40.8466508,-73.8785937,22,America/New_York,,,,open,,7000,,,High,,,,,,,,54.57,,,150,,,0,,,
paladin-stadium,Paladin Stadium,,Greenville,SC,US,34.920192,-82.4370917,303.3,America/New_York,,,,open,turf,16000,1981,,High,,,,,,,,60.42,,,3868,,,0,,,
ernest-w-spangler-stadium,Ernest W. Spangler Stadium,,Boiling Springs,NC,US,35.2457593,-81.6739887,253.2,America/New_York,,,,open,turf,9000,1969,,High,,,,,,,,61.01,,,3710,,,0,,,
cooper-field,Cooper Field,,Washington,DC,US,38.9080248,-77.0753144,32.4,America/New_York,,,,open,turf,3750,2003,,High,,,,,,,,57.71,,,3847,,,0,,,
eddie-robinson-stadium,Eddie Robinson Stadium,,Grambling,LA,US,32.5258665,-92.7146412,94.6,America/Chicago,,,,open,turf,19600,1983,,Low,,,,,,,,66.53,,,3902,,,0,,,
armstrong-stadium,Armstrong Stadium,,Hampton,VA,US,37.0200894,-76.3331555,2.6,America/New_York,,,,open,turf,12000,1928,,High,,,,,,,,61.55,,,3620,,,0,,,
harvard-stadium,Harvard Stadium,,Boston,MA,US,42.366704,-71.1267511,2,America/New_York,,,,open,turf,30323,1903,,High,,,,,,,,52.27,,,3750,,,0,,,
fitton-field,Fitton Field,,Worcester,MA,US,42.2403564,-71.8111424,137.4,America/New_York,,,,open,grass,23500,1924,,High,,,,,,,,51.31,,,3722,,,0,,,
husky-stadium-houston,Husky Stadium,,Houston,TX,US,29.6949025,-95.5167353,19.9,America/Chicago,,,,open,turf,5000,2014,,Low,,,,,,,,70.46,,,4424,,,0,,,
william-h-greene-stadium,William H. Greene Stadium,,Washington,DC,US,38.925487,-77.021047,53.5,America/New_York,,,,open,turf,10000,1926,,High,,,,,,,,57.45,,,3990,,,0,,,
kibbie-dome,Kibbie Dome,,Moscow,ID,US,46.7262921,-117.0173713,794.5,America/Los_Angeles,,,,dome,turf,16000,1975,,High,,,,,,,,49.46,,,3791,,,0,,,
holt-arena,Holt Arena,,Pocatello,ID,US,42.8702052,-112.4281274,1390.3,America/Boise,,,,dome,turf,12000,1970,,High,,,,,,,,48.24,,,1930,,,0,,,
hancock-stadium,Hancock Stadium,,Normal,IL,US,40.5125091,-88.9967177,242.9,America/Chicago,,,,open,turf,15000,1963,,Mid,,,,,,,,53.1,,,3744,,,0,,,
gayle-and-tom-benson-stadium,Gayle and Tom Benson Stadium,,San Antonio,TX,US,29.4674787,-98.470014,208.5,America/Chicago,,,,open,turf,6000,2008,,Low,,,,,,,,70.74,,,3734,,,0,,,
memorial-stadium-terre-haute,Memorial Stadium,,Terre Haute,IN,US,39.4746858,-87.3669599,155.5,America/Indiana/Indianapolis,,,,open,turf,12764,1925,,Mid,,,,,,,,55.49,,,3829,,,0,,,
mississippi-veterans-memorial-stadium,Mississippi Veterans Memorial Stadium,,Jackson,MS,US,32.3300053,-90.1795578,108.4,America/Chicago,,,,open,grass,44215,1941,,Low,,,,,,,,65.26,,,3976,,,0,,,
fisher-field,Fisher Field,,Easton,PA,US,40.7009796,-75.2106499,81.4,America/New_York,,,,open,turf,13132,1926,,High,,,,,,,,53.94,,,3721,,,0,,,
provost-umphrey-stadium,Provost Umphrey Stadium,,Beaumont,TX,US,30.04313,-94.069963,4,America/Chicago,,,,open,turf,16000,1964,,Low,,,,,,,,69.7,,,3882,,,0,,,
goodman-stadium,Goodman Stadium,,Bethlehem,PA,US,40.5890837,-75.3553874,90.3,America/New_York,,,,open,turf,16000,1988,,High,,,,,,,,54.29,,,3741,,,0,,,
hunter-stadium,Hunter Stadium,,Saint Charles,MO,US,38.7946252,-90.519829,159,America/Chicago,,,,open,,7450,,,Mid,,,,,,,,56.85,,,3749,,,0,,,
alfond-stadium,Alfond Stadium,,Orono,ME,US,44.905128,-68.6724718,35.5,America/New_York,,,,open,turf,10000,1998,,High,,,,,,,,47.2,,,3607,,,0,,,
leonidoff-field,Leonidoff Field,,Poughkeepsie,NY,US,41.7191409,-73.9329549,24.9,America/New_York,,,,open,turf,5000,1968,,High,,,,,,,,52.79,,,36,,,0,,,
cowboy-stadium,Cowboy Stadium,,Lake Charles,LA,US,30.1804575,-93.2178729,4.2,America/Chicago,,,,open,turf,17610,1965,,Low,,,,,,,,69.38,,,3686,,,0,,,
five-star-stadium-at-the-moye-complex,Five Star Stadium at the Moye Complex,,Macon,GA,US,32.8262075,-83.6522485,138.7,America/New_York,,,,open,turf,10200,2013,,Low,,,,,,,,64.83,,,4417,,,0,,,
saxon-stadium,Saxon Stadium,,Erie,PA,US,42.1294712,-80.0852695,198,America/New_York,,,,open,,2300,,,High,,,,,,,,51.48,,,4428,,,0,,,
duane-stadium,Duane Stadium,,North Andover,MA,US,42.6839894,-71.1127065,63,America/New_York,,,,open,,3500,,,High,,,,,,,,50.85,,,6048,,,0,,,
rice-totten-field,Rice-Totten Field,,Itta Bena,MS,US,33.5118304,-90.3397718,39.9,America/Chicago,,,,open,grass,10000,1958,,Low,,,,,,,,65.25,,,3896,,,0,,,
plaster-sports-complex,Plaster Sports Complex,,Springfield,MO,US,37.19763,-93.279851,402.4,America/Chicago,0.8,N-S,osm_pitch,open,turf,17337,1941,,Mid,,,6.24,7.55,7.83,7.96,7.85,57.25,Q7202020,way/134103670,3878,,,0,epqs,osm_pitch,
kessler-stadium,Kessler Stadium,,West Long Branch,NJ,US,40.278953,-74.009451,9.9,America/New_York,,,,open,turf,4200,1993,,High,,,,,,,,55.89,,,5389,,,0,,,
washington-grizzly-stadium,Washington-Grizzly Stadium,,Missoula,MT,US,46.8638753,-113.9815042,970.3,America/Denver,,,,open,turf,25217,1986,,High,,,,,,,,47.64,,,3987,,,0,,,
bobcat-stadium,Bobcat Stadium,,Bozeman,MT,US,45.659048,-111.049547,1507.5,America/Denver,,,,open,turf,17000,1973,,High,,,,,,,,42.68,,,3643,,,0,,,
jayne-stadium,Jayne Stadium,,Morehead,KY,US,38.1916481,-83.4253315,228.1,America/New_York,,,,open,turf,10000,1964,,High,,,,,,,,56.93,,,3774,,,0,,,
hughes-stadium,Hughes Stadium,,Baltimore,MD,US,39.3439778,-76.5829573,67.1,America/New_York,,,,open,turf,10000,1949,,High,,,,,,,,56.23,,,3762,,,0,,,
roy-stewart-stadium,Roy Stewart Stadium,,Murray,KY,US,36.6215165,-88.3175531,152.6,America/Chicago,,,,open,turf,16800,1973,,Mid,,,,,,,,59.89,,,3909,,,0,,,
wildcat-stadium,Wildcat Stadium,,Durham,NH,US,43.1386231,-70.9393077,19.1,America/New_York,,,,open,turf,11015,1936,,High,,,,,,,,50.46,,,3688,,,0,,,
manning-field-at-john-l-guidry-stadium,Manning Field at John L. Guidry Stadium,,Thibodaux,LA,US,29.7867254,-90.80455,3.2,America/Chicago,,,,open,turf,10500,1972,,High,,,,,,,,69.48,,,3779,,,0,,,
william-dick-price-stadium,"William Dick"""" Price Stadium""""",,Norfolk,VA,US,36.8469442,-76.2600839,4.9,America/New_York,,,,open,turf,30000,1997,,High,,,,,,,,61.33,,,3991,,,0,,,
braly-municipal-stadium,Braly Municipal Stadium,,Florence,AL,US,34.810914,-87.670587,172.3,America/Chicago,,,,open,turf,14215,1949,,Low,,,,,,,,62.36,,,4133,,,0,,,
aggie-stadium,Aggie Stadium,,Greensboro,NC,US,36.0814337,-79.7700391,235.1,America/New_York,,,,open,grass,21500,1981,,High,,,,,,,,60.18,,,3603,,,0,,,
okelly-riddick-stadium,O'Kelly-Riddick Stadium,,Durham,NC,US,35.9738646,-78.896969,96.7,America/New_York,,,,open,turf,10000,1975,,High,,,,,,,,61.42,,,3862,,,0,,,
alerus-center,Alerus Center,,Grand Forks,ND,US,47.910622,-97.090996,255.2,America/Chicago,,,,dome,turf,12283,2001,,Mid,,,,,,,,42.5,,,3605,,,0,,,
fargodome,Fargodome,,Fargo,ND,US,46.9029938,-96.8003251,274.5,America/Chicago,,,,dome,turf,18700,1992,,Mid,,,,,,,,44.57,,,3714,,,0,,,
walkup-skydome,Walkup Skydome,,Flagstaff,AZ,US,35.1805483,-111.6528377,2097.9,America/Phoenix,,,,dome,turf,10000,1977,,High,,,,,,,,49.49,,,2023,,,0,,,
nottingham-field,Nottingham Field,,Greeley,CO,US,40.403493,-104.705139,1455.3,America/Denver,,,,open,grass,8500,1995,,Mid,,,,,,,,50.44,,,3856,,,0,,,
uni-dome,UNI-Dome,,Cedar Falls,IA,US,42.5156111,-92.4672307,281.9,America/Chicago,,,,dome,turf,16324,1976,,Mid,,,,,,,,50.08,,,3967,,,0,,,
harry-turpin-stadium,Harry Turpin Stadium,,Natchitoches,LA,US,31.747259,-93.0961357,36.6,America/Chicago,,,,open,turf,15971,1976,,Low,,,,,,,,67.82,,,3963,,,0,,,
franklin-field,Franklin Field,,Philadelphia,PA,US,39.9501475,-75.1901043,11.7,America/New_York,,,,open,turf,52593,1895,,High,,,,,,,,56.58,,,3730,,,0,,,
hillsboro-stadium,Hillsboro Stadium,,Portland,OR,US,45.554597,-122.90694,65.4,America/Los_Angeles,,,,open,turf,7600,1999,,High,,,,,,,,53.03,,,4765,,,0,,,
panther-stadium,Panther Stadium,,Prairie View,TX,US,30.0937874,-95.9960913,77.4,America/Chicago,,,,open,grass,15000,2016,,Low,,,,,,,,69.62,,,5238,,,0,,,
bailey-memorial-stadium,Bailey Memorial Stadium,,Clinton,SC,US,34.46158,-81.861368,194.2,America/New_York,,,,open,grass,6500,2002,,High,,,,,,,,62.6,,,3627,,,0,,,
princeton-university-stadium,Princeton University Stadium,,Princeton,NJ,US,40.3457928,-74.6500047,32,America/New_York,,,,open,turf,27800,1998,,High,,,,,,,,55.59,,,3881,,,0,,,
meade-stadium,Meade Stadium,,Kingston,RI,US,41.4879984,-71.5347458,32.7,America/New_York,,,,open,grass,8000,1928,,High,,,,,,,,52.81,,,3824,,,0,,,
e-claiborne-robins-stadium,E. Claiborne Robins Stadium,,Richmond,VA,US,37.5807765,-77.5372211,60,America/New_York,,,,open,turf,8217,2010,,High,,,,,,,,59.88,,,2068,,,0,,,
joe-walton-stadium,Joe Walton Stadium,,Moon Township,PA,US,40.521046,-80.2159227,351.4,America/New_York,,,,open,turf,3000,2005,,High,,,,,,,,52.37,,,3777,,,0,,,
hornet-stadium-sacramento,Hornet Stadium,,Sacramento,CA,US,38.5556718,-121.4229607,12.3,America/Los_Angeles,,,,open,turf,21195,1969,,High,,,,,,,,61.63,,,3757,,,0,,,
campus-field,Campus Field,,Fairfield,CT,US,41.2212488,-73.2417431,82,America/New_York,,,,open,turf,3334,1993,,High,,,,,,,,52.81,,,3668,,,0,,,
seibert-stadium,Seibert Stadium,,Homewood,AL,US,33.463273,-86.795326,208,America/Chicago,,,,open,turf,6700,1958,,Low,,,,,,,,63.43,,,3925,,,0,,,
torero-stadium,Torero Stadium,,San Diego,CA,US,32.7730674,-117.183721,58,America/Los_Angeles,,,,open,grass,6000,1961,,Low,,,,,,,,61.88,,,716,,,0,,,
oliver-c-dawson-stadium,Oliver C. Dawson Stadium,,Orangeburg,SC,US,33.4986313,-80.8446857,67.3,America/New_York,,,,open,turf,22000,1955,,Low,,,,,,,,65.82,,,3864,,,0,,,
dakotadome,DakotaDome,,Vermillion,SD,US,42.7911218,-96.9278427,373.4,America/Chicago,,,,dome,turf,9100,1979,,Mid,,,,,,,,51.08,,,1905,,,0,,,
dana-j-dykhouse-stadium,Dana J. Dykhouse Stadium,,Brookings,SD,US,44.3210182,-96.7801386,495.8,America/Chicago,,,,open,turf,19340,2016,,Mid,,,,,,,,46.7,,,5237,,,0,,,
houck-field,Houck Field,,Cape Girardeau,MO,US,37.3034933,-89.5230357,122,America/Chicago,,,,open,,10000,,,Mid,,,,,,,,58.81,,,7003,,,0,,,
strawberry-stadium,Strawberry Stadium,,Hammond,LA,US,30.5110264,-90.4685792,13.7,America/Chicago,,,,open,turf,7408,1936,,Low,,,,,,,,68.27,,,3944,,,0,,,
ace-w-mumford-stadium,Ace W. Mumford Stadium,,Baton Rouge,LA,US,30.5221461,-91.1896087,20.2,America/Chicago,,,,open,turf,28500,1928,,Low,,,,,,,,68.7,,,3599,,,0,,,
saluki-stadium,Saluki Stadium,,Carbondale,IL,US,37.708637,-89.216212,126.8,America/Chicago,,,,open,turf,15000,2010,,Mid,,,,,,,,58.65,,,3913,,,0,,,
eccles-coliseum,Eccles Coliseum,,Cedar City,UT,US,37.6757919,-113.0773938,1764,America/Denver,,,,open,turf,10000,1967,,High,,,,,,,,50.65,,,3706,,,0,,,
degol-field,DeGol Field,,Loretto,PA,US,40.5063173,-78.637214,586.9,America/New_York,,,,open,turf,3500,2006,,High,,,,,,,,49.41,,,3694,,,0,,,
